Title,Price,Link,Image URL,Description
queen solitaire diamond ring in 14kt gold or 18kt gold,"₹28,534",https://emori.in/product/queen-solitaire-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/07/R7253-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: ExcellentDiamond Total Weight: 0.48 CaratsCenter Diamond Weight: 0.26 CaratsMetal: BIS Hallmarked Gold
princess cut splendor ring in 14kt gold or 18kt gold,"₹42,206",https://emori.in/product/princess-cut-splendor-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/10/R1098-1-300x300.webp,"Diamond: Lab Grown DiamondShape: Round, PrincessColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.19 CaratsCenter Diamond Weight: 0.88 CaratsMetal: BIS Hallmarked Gold"
shimmery classic diamond band in 14kt gold or 18kt gold,"₹11,324",https://emori.in/product/shimmery-classic-diamond-band-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/10/R1103-1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.15 CaratsMetal: BIS Hallmarked Gold
ashez diamond ring,"₹48,741",https://emori.in/product/ashez-diamond-ring/,https://emori.in/wp-content/uploads/2024/01/R1211.1-1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.07 CaratsCenter Diamond Weight: 0.81 CaratsMetal: BIS Hallmarked Gold
regal splendor diamond ring in 14kt gold or 18kt gold,"₹46,791",https://emori.in/product/regal-splendor-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/09/R1088-1-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: ExcellentDiamond Total Weight: 0.95 CaratsCenter Diamond Weight: 0.47 CaratsMetal: BIS Hallmarked Gold
pear and emerald diamond band,"₹47,917",https://emori.in/product/pear-and-emerald-diamond-band/,https://emori.in/wp-content/uploads/2023/12/R1147-1-300x300.webp,"Diamond: Lab Grown DiamondShape: Pear, EmeraldColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.99 CaratsMetal: BIS Hallmarked Gold"
classic ira solitaire ring,"₹30,188",https://emori.in/product/classic-ira-solitaire-ring/,https://emori.in/wp-content/uploads/2024/04/R1325.1-300x300.webp,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 0.52 CaratsMetal: BIS Hallmarked Gold
tri solitaire diamond ring,"₹85,613",https://emori.in/product/tri-solitaire-diamond-ring/,https://emori.in/wp-content/uploads/2024/04/R1327.1-1-300x300.webp,Diamond: Lab Grown DiamondShape: Oval and PearColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 2.26 CaratsCenter Diamond Weight: 2.0 CaratsMetal: BIS Hallmarked Gold
oval cluster engagement ring,"₹43,827",https://emori.in/product/oval-cluster-engagement-ring/,https://emori.in/wp-content/uploads/2024/06/R1199.1-300x300.webp,"Diamond: Lab Grown DiamondShape: Round, Oval and MarquiseColour: E-FClarity: VSCut: BrilliantDiamond Total Weight: 1.09 CaratsCenter Diamond Weight: 1 CaratsMetal: BIS Hallmarked Gold"
classic solitaire diamond ring in 14kt gold or 18kt gold,"₹29,951",https://emori.in/product/classic-solitaire-diamond-ring-in-14kt-gold-or-18kt-gold/,https://emori.in/wp-content/uploads/2023/07/R6053-300x300.jpg,Diamond: Lab Grown DiamondShape: RoundColour: E-FClarity: VSCut: ExcellentDiamond Total Weight: 0.51 CaratsMetal: BIS Hallmarked Gold
emerald cut solitaire ring,"₹26,943",https://emori.in/product/emerald-cut-solitaire-ring/,https://emori.in/wp-content/uploads/2023/07/R6613-300x300.jpg,"Diamond: Lab Grown DiamondShape: Round, EmeraldColour: E-FClarity: VSCut: ExcellentDiamond Total Weight: 0.49 CaratsCenter Diamond Weight: 0.34 CaratsMetal: BIS Hallmarked Gold"
